,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,all_year
12,"('人たち', 287.1758641602595)","('地方', 227.76149962198656)","('厚生労働省', 245.78242758973056)","('銀行', 242.12430950342934)","('自治体', 275.8143166874925)","('人たち', 238.88078610484231)","('環境', 178.1731781093406)","('脳死', 167.24235494375685)","('雇用', 202.21723807950633)","('復旧', 255.4372073285396)","('アメリカ', 189.96967602481013)","('自民党', 216.04129399720938)","('機能', 259.89690034002524)","('活動', 235.26604625037936)","('皆様', 224.83786504528834)","('大学', 215.31638371568735)","('指導', 258.1833577074246)","('活用', 226.6489537157443)","('活用', 223.51115650123157)","('検査', 241.78349967241024)","('令和', 149.323783332704)","('職員', 4040.342777733789)"
13,"('医療', 285.3079772434662)","('銀行', 225.246564661709)","('会社', 239.9418258129774)","('人たち', 227.4651018127136)","('行政', 264.14687539251685)","('自治体', 229.38201141790438)","('中国', 176.56346089915803)","('環境', 166.31319476094362)","('財政', 193.94564901960638)","('処理', 248.57710392223703)","('原発', 187.7045924096354)","('子供', 214.75950855898307)","('集団的自衛権', 257.1651858389648)","('憲法', 234.07073361111418)","('改善', 224.6202492731724)","('取り組み', 212.0835392312487)","('局長', 257.80728043290173)","('導入', 220.6132481674382)","('拡大', 223.1748579984858)","('活用', 226.3391211192119)","('事業者', 148.83637342124126)","('年金', 3957.8325124309818)"
14,"('銀行', 273.5307241701634)","('人たち', 221.93584727652663)","('数字', 239.36673021657307)","('数字', 224.756428401554)","('基本', 262.7401046800877)","('与党', 224.9446049289677)","('医療', 173.45373317341318)","('北朝鮮', 165.6753387184973)","('子ども手当', 191.81609231054213)","('被災者', 247.13949356797724)","('財政', 187.23766909911276)","('事故', 208.222839720594)","('職員', 249.17892248318125)","('環境', 232.81645977332684)","('環境', 222.63924805540455)","('設置', 210.79752252950064)","('活用', 252.75922474688446)","('災害', 219.87095761221366)","('地方', 212.36525092354825)","('皆様', 225.54790114003302)","('地方', 146.16577933367483)","('医療', 3948.044554626425)"
15,"('局長', 268.9330670967547)","('雇用', 220.56783341068746)","('外務省', 238.0471699224026)","('教育', 222.09456154206356)","('数字', 260.49161101157443)","('数字', 223.3016436366724)","('財政', 171.81721912856133)","('沖縄', 165.11118759774604)","('目標', 188.7518909085679)","('生活', 244.18131070886383)","('野田総理', 185.32318402949855)","('指定', 207.8741270207285)","('環境', 245.23516559439713)","('事件', 231.66645023447032)","('数字', 217.64363948761581)","('皆様', 202.99013713990533)","('把握', 251.31455932205876)","('改善', 218.05624480772943)","('学校', 211.73059779386034)","('会長', 221.80504780145807)","('活用', 144.61082803942872)","('会社', 3899.448870767685)"
16,"('地方', 265.3171489271038)","('安全', 216.47598471057117)","('活動', 235.60269899455832)","('見直し', 220.39069044577127)","('医療', 258.05369779185185)","('職員', 220.64264767301972)","('経済', 169.1725776259382)","('会社', 164.20745468041062)","('子供', 186.31122552638294)","('事故', 243.48506347864964)","('事故', 182.79589896924384)","('tpp', 206.01700521497384)","('連携', 241.39105725535967)","('事態', 230.44281256317845)","('取り組み', 216.95438412138287)","('環境', 202.388553569937)","('改ざん', 251.26906940432994)","('把握', 217.73360963064516)","('中国', 206.74789414923578)","('中国', 219.3514092879703)","('技術', 138.23232085268776)","('中国', 3869.1668387755694)"
17,"('検査', 261.6647406173061)","('局長', 216.051165320812)","('民主党', 227.21142197717046)","('郵便局', 218.17549687514077)","('人たち', 257.5655188069956)","('事件', 218.97797238294845)","('教育', 167.83939602273625)","('自治体', 162.33332483716853)","('企業', 181.68179005571108)","('市町村', 237.13176706711386)","('沖縄', 181.12665015037473)","('農業', 205.42905441948983)","('見直し', 241.09880001823302)","('機構', 229.97007141089207)","('介護', 215.39396631914855)","('文書', 199.12866188238772)","('環境', 248.3499855234225)","('事業者', 216.82784754428647)","('要請', 199.85972614583142)","('厚労省', 218.16040486338477)","('デジタル', 137.3254046303841)","('見直し', 3863.1360117878794)"
18,"('厚生労働省', 261.3061768846522)","('教育', 215.24107323967326)","('学校', 222.81861202806556)","('子供', 211.5459072538087)","('見直し', 247.20737828985656)","('天下り', 216.3141692072173)","('行政', 167.31652645048675)","('生活', 161.58543483808086)","('経済', 177.42859923172205)","('東電', 235.08719355139425)","('一体', 178.95045093171024)","('雇用', 205.28093742184765)","('事故', 240.7072066856578)","('要件', 229.23830682746336)","('目標', 211.98192227797978)","('可能性', 199.06299746470862)","('職員', 247.04902177754758)","('環境', 215.35883838226783)","('厚労省', 197.39403222486965)","('子供', 216.5752324937729)","('効果', 131.61243346134216)","('皆様', 3860.9293660967655)"
19,"('環境', 261.10279905095797)","('経済', 213.12551339744036)","('現実', 222.0872970054724)","('局長', 210.38756207620293)","('財政', 243.67884228995806)","('環境', 215.46912437776493)","('活動', 166.67289010606916)","('子供', 161.08170576478062)","('外務大臣', 177.01484907254383)","('安全', 226.68820072718788)","('見直し', 176.59548101591625)","('経済', 204.66186245370395)","('皆様', 239.25491335152998)","('皆様', 219.8428146359222)","('可能性', 206.20298737546264)","('管理', 196.87616102724164)","('導入', 240.47436482017827)","('職員', 215.1170786640209)","('災害', 196.43022372332524)","('協力', 207.22492823328392)","('連携', 128.00454108676595)","('人たち', 3818.370049320367)"
20,"('事態', 257.7773678171068)","('国連', 211.8350904671149)","('子供', 221.232575869949)","('経営', 210.07424863275037)","('団体', 243.47229938016153)","('趣旨', 215.0930667521634)","('削減', 166.10614325495243)","('人たち', 159.76452397698407)","('廃止', 175.6744290700277)","('津波', 225.2874336313884)","('雇用', 173.22504679824073)","('行政', 204.6458068608926)","('役割', 237.0481404015153)","('運用', 215.8535689802422)","('強化', 204.1583881354892)","('改善', 194.65938968576503)","('業務', 237.94131467532617)","('連携', 214.7271286394915)","('ワクチン', 195.55703763443702)","('防止', 206.422588838509)","('強化', 127.07905335270168)","('厚生労働省', 3801.599115824165)"
21,"('憲法', 253.80008827150868)","('事態', 211.56211606732998)","('局長', 220.25614265070055)","('行政', 205.82711555672688)","('憲法', 239.5448965780845)","('学校', 214.40739906433953)","('生活', 165.38294365066739)","('仕事', 159.57322353273463)","('政務官', 175.20152441169083)","('アメリカ', 220.52542620940756)","('削減', 172.82021338934302)","('安倍総理', 203.83157013249294)","('取り組み', 236.93230500280546)","('数字', 214.3098661657192)","('活用', 204.11499333132056)","('教育', 193.9209057445762)","('連携', 230.772889498861)","('強化', 212.13157468029652)","('職員', 195.2888005821138)","('環境', 202.4994486088192)","('目標', 126.79401481742451)","('可能性', 3768.3644626678292)"
22,"('大学', 253.09719305429144)","('大学', 209.72176281552595)","('財政', 219.10451935188362)","('安全', 202.82025813120583)","('職員', 238.50930509205384)","('業務', 209.53848752216663)","('雇用', 163.31249993749267)","('財政', 159.33618117272994)","('環境', 169.71135705883995)","('tpp', 220.17469307814932)","('自民党', 169.42022171819957)","('運用', 203.7305943022916)","('事業者', 232.44883581299626)","('年金', 212.61115622304598)","('生活', 202.92975155039846)","('団体', 192.75103300452534)","('大学', 226.13208999970703)","('管理', 204.7955600149958)","('全国', 191.42451034579642)","('拡大', 201.73903790920082)","('環境', 124.07627079733392)","('安全', 3756.829526970341)"
23,"('見直し', 250.02902937265782)","('会社', 208.66730596628753)","('民間', 216.2767097353777)","('財政', 199.30646545374563)","('環境', 233.12355111538142)","('公務員', 208.05440123542257)","('与党', 163.00245900531803)","('海賊', 158.46280610567513)","('教育', 169.05178081582164)","('皆様', 217.8846071157165)","('子供', 168.96188341124355)","('分野', 203.14591155809137)","('可能性', 231.93753438293206)","('可能', 211.64871879273795)","('効果', 201.92203450176913)","('段階', 189.27626247114858)","('可能性', 225.66311426902797)","('データ', 201.76204690826836)","('可能性', 190.5371411229186)","('オリンピック', 198.29728176795012)","('職員', 123.33318695447667)","('導入', 3706.496762880598)"
24,"('教育', 250.0083581934342)","('戦争', 206.69428222000488)","('協議', 214.96839257222138)","('市町村', 198.79845266036676)","('目標', 233.10757016085225)","('関連', 204.04167699082564)","('暫定税率', 162.76163971576835)","('総務省', 157.79618257913438)","('行政', 167.83752347309888)","('企業', 213.52365395288987)","('安全', 166.61791692322552)","('憲法', 202.497415285374)","('運用', 231.71380225633024)","('雇用', 211.28598307475562)","('運用', 201.58031338865592)","('連携', 188.2231354680733)","('分野', 223.81018456108933)","('民間', 194.66153017993327)","('適用', 190.08998327124817)","('把握', 198.0977902398454)","('アメリカ', 119.99917367178578)","('事件', 3701.3451382097487)"
25,"('雇用', 244.70428848319972)","('厚生労働省', 203.18507468837853)","('基本', 212.37885532005095)","('全国', 190.71359307759857)","('局長', 232.9904242197687)","('財政', 202.43311998016532)","('年金', 160.114228256542)","('目標', 157.6877044137795)","('自治体', 167.7491763226269)","('菅総理', 210.58736555635608)","('経済', 166.52441363080865)","('医療', 202.22603318417018)","('活用', 231.26463652382432)","('農協', 209.76796532801612)","('拡大', 200.9532301900945)","('把握', 185.77946706675647)","('行政', 221.2415229487956)","('学校', 193.5546495771989)","('マスク', 189.97792909405808)","('行政', 195.5151337385793)","('実現', 118.25737578074182)","('強化', 3694.9323387073823)"
26,"('明確', 242.9596762889957)","('明確', 202.93480035698292)","('警察', 212.08751399564318)","('役割', 189.7675399218419)","('仕事', 232.66288808540443)","('労働', 202.0105524778215)","('見直し', 159.52724153727797)","('消費者庁', 156.56393685431019)","('見直し', 166.09506143793686)","('子供', 202.52766844146495)","('医療', 165.10317902692825)","('生活', 201.90641962959282)","('管理', 231.13715786624158)","('拡大', 205.72602661407737)","('実現', 200.47153414476998)","('犯罪', 183.9600874275943)","('懸念', 220.37552508910937)","('相談', 192.13167833933292)","('感染症', 189.94282451921032)","('強化', 194.79335438056438)","('研究', 115.97741413632761)","('雇用', 3687.1965707907884)"
27,"('方向', 240.69980103149737)","('処理', 198.19244281143773)","('検査', 211.7513709568799)","('事件', 188.85133332083828)","('教育基本法', 229.04170892707182)","('段階', 201.97715142987556)","('目標', 156.24341419079218)","('財源', 155.08466337086773)","('数字', 165.11556870890854)","('見直し', 198.304647083872)","('反対', 163.85562700802166)","('導入', 201.17045395206347)","('行政', 230.39824749903866)","('女性', 205.02568330686677)","('職員', 198.29961660696048)","('介護', 183.09447466238373)","('拡大', 217.36187290603533)","('可能性', 190.5395508915738)","('延長', 185.9890645699772)","('経済', 193.82654570020475)","('改善', 115.86352432649404)","('事業者', 3682.747628003674)"
28,"('関連', 239.1028178812187)","('環境', 197.16377405103898)","('機能', 211.20514403700219)","('活動', 188.49168468079228)","('厚生労働省', 228.11527215178054)","('仕事', 200.68118604312252)","('人たち', 154.8374740272461)","('機能', 153.57155787178016)","('事件', 164.2012602569463)","('財政', 197.64084583248624)","('生活', 162.39628017399173)","('管理', 200.27035376262026)","('強化', 228.24591627156596)","('安全', 202.03164095222047)","('民間', 198.16494539497015)","('研究', 182.83602765108822)","('数字', 215.54485621361314)","('保育', 190.04312667623518)","('会議', 184.82830874531132)","('要請', 191.67695835777351)","('中国', 113.56118940400047)","('機能', 3678.8091554969856)"
29,"('不良債権', 238.8452694658977)","('外務大臣', 194.69658979428743)","('外務大臣', 208.85001119540487)","('仕事', 186.73956923550412)","('会社', 228.09459121960387)","('明確', 199.86343308825786)","('金融', 153.71949546148957)","('教育', 150.33379951087417)","('合意', 157.505803023333)","('沖縄', 195.21797001189555)","('災害', 160.725087277849)","('懸念', 200.2677459788091)","('分野', 227.20087508397452)","('会社', 201.5557961698302)","('研究', 197.20381913885748)","('活用', 182.82638501944606)","('安倍総理', 214.33758237553548)","('総務省', 188.9083116658334)","('発生', 184.48965708718146)","('コロナ禍', 190.99010470298316)","('医療', 112.85695018136035)","('明確', 3649.009255391689)"
30,"('北朝鮮', 238.62445874161685)","('現実', 194.12915490432945)","('保護', 206.69688458731738)","('基本', 186.0306042580696)","('中国', 227.8826594197924)","('導入', 197.530488491636)","('厚生労働省', 152.8840927745527)","('局長', 150.27057083897606)","('段階', 156.22837275625395)","('原子力', 194.73438794267213)","('数字', 160.6374548680213)","('可能性', 198.72979064747966)","('改善', 226.19019761911323)","('職員', 200.73873547584043)","('教育', 196.47212469327678)","('活動', 182.61935974072358)","('目標', 212.60680222450625)","('業務', 188.90590000828823)","('把握', 184.3815127503527)","('全国', 190.84043747433412)","('可能', 112.47935480752099)","('財政', 3645.356540304958)"
31,"('段階', 234.90769277696015)","('活動', 191.55281681013088)","('環境', 206.66929949576064)","('業務', 185.93450938766853)","('明確', 227.09256377700598)","('記録', 197.46587250976754)","('一点', 149.56810910115078)","('見直し', 149.69345809063466)","('明確', 154.33287509930736)","('れき', 189.2886060282337)","('被災地', 157.80555350010843)","('秘密', 198.42526522614335)","('趣旨', 225.0483181715954)","('厚生労働省', 200.1053062662324)","('団体', 193.98236927409678)","('財務省', 181.92574848407514)","('子供', 212.52029502617992)","('消費税', 187.7040064228684)","('強化', 184.063353944266)","('可能性', 190.5407840770215)","('把握', 112.28256478628845)","('全国', 3639.8962875717675)"
32,"('経営', 234.78253621609988)","('個人', 183.45084103950123)","('見直し', 205.5464651102949)","('現実', 182.38884872473142)","('機能', 226.287356727978)","('総務省', 197.40453528674556)","('強化', 149.4904507584477)","('民間', 149.33092445132448)","('協議', 153.43884298811452)","('協議', 188.84658597564282)","('運用', 157.17554521676203)","('機能', 198.1414796292118)","('設置', 224.4572910412594)","('リスク', 199.83594379491734)","('財源', 193.28828207942544)","('行為', 181.3663045354782)","('強化', 210.8548666336618)","('設置', 187.6162847007842)","('環境', 183.94532274712097)","('職員', 189.24838315597495)","('価格', 111.56844558558865)","('関連', 3620.756608414605)"
33,"('中国', 234.52401375639784)","('数字', 181.23999211351497)","('役割', 205.45742398978672)","('経済', 181.23736164504373)","('活動', 226.07614005380978)","('行政', 197.28312530922162)","('廃止', 149.45052918303156)","('経営', 149.30107141542695)","('鳩山総理', 152.50540290199433)","('補正', 186.79370366625403)","('市町村', 155.8653886732164)","('強化', 197.6159380246152)","('原発', 223.50669605454218)","('明確', 198.96432210711475)","('安倍総理', 189.05956005735777)","('局長', 181.327514242299)","('設置', 208.3330411512024)","('試験', 187.39784219301453)","('相談', 181.071497820429)","('アメリカ', 188.73854145702455)","('沖縄', 111.35907683690132)","('基本', 3611.7682507794775)"
34,"('財政', 233.05892944134635)","('北朝鮮', 181.2153130217444)","('解決', 204.83126754127403)","('生活', 180.63218436041348)","('全国', 219.3452128106913)","('雇用', 197.08052057904578)","('決意', 149.32131806529614)","('厚生労働省', 148.6490117534417)","('基本', 151.24105811917093)","('要望', 186.45490691898442)","('中国', 154.25886346849154)","('参加', 195.6937774126233)","('nhk', 223.42989177232297)","('事業者', 198.87720295317595)","('把握', 188.1309795798833)","('子供', 178.55993054595444)","('災害', 205.13769173627975)","('教育', 183.41247929487972)","('管理', 174.7013655988201)","('効果', 187.8961964422153)","('分野', 110.03658598856168)","('活動', 3611.4702496290656)"
35,"('自治体', 229.8930810251207)","('役割', 180.35641405049967)","('趣旨', 202.38767612811193)","('明確', 180.466788024524)","('一点', 219.29763024907962)","('見直し', 196.52969942008502)","('関連', 148.86516764798162)","('趣旨', 148.57977381069344)","('職員', 150.36092217486691)","('雇用', 185.16142351404767)","('設置', 151.1076045668282)","('教育', 195.0727925551578)","('海外', 223.41584940239798)","('海外', 197.43106879626168)","('財政', 187.36453726209734)","('業務', 178.12951839310205)","('仕事', 202.27320679790245)","('法務省', 183.23249863487092)","('子供', 173.31540723090677)","('システム', 184.01697105584196)","('学校', 109.75959157026898)","('生活', 3610.3905345341577)"
36,"('現実', 226.96700706953976)","('趣旨', 180.00977067247499)","('関連', 201.4043965968744)","('機能', 179.80065307908734)","('協議', 217.5829148297385)","('安全', 196.24450184818056)","('全国', 148.36309450783122)","('外務省', 147.64556615330943)","('皆様', 147.90750752602298)","('明確', 184.63959755706722)","('皆様', 150.268974194905)","('環境', 194.03758351338047)","('協議', 223.15359189652676)","('役割', 196.9581323196642)","('事故', 185.1877974782277)","('学校', 177.37399965563228)","('教育', 201.9395660398895)","('発生', 182.04748695261108)","('生活', 171.24391018120608)","('懸念', 183.58384687642018)","('人材', 108.14190433814491)","('段階', 3606.319502619615)"
37,"('職員', 225.07843206411476)","('段階', 178.37445924847268)","('経済', 200.71230916889158)","('憲法', 179.79961582119444)","('趣旨', 216.6114505664242)","('被害者', 195.01738723731512)","('会社', 148.15544288783482)","('強化', 145.17160895489488)","('民間', 145.1040501037004)","('地震', 184.20230852916106)","('機能', 144.51763375016782)","('交渉', 193.4458239898606)","('拡大', 220.85162705159303)","('安倍総理', 196.15593571928912)","('会長', 185.0371403177909)","('役割', 176.9972985982396)","('厚生労働省', 201.76623365656272)","('女性', 182.03500329804604)","('要望', 169.87418200580208)","('目標', 182.2191075615464)","('拡大', 107.55996294984688)","('趣旨', 3596.01038360807)"
38,"('役割', 221.4289679890434)","('方向', 177.794709357974)","('事態', 199.38005135350036)","('学校', 179.42672454350395)","('子供たち', 214.5151160964337)","('基本', 194.03301906426435)","('趣旨', 146.4202910251242)","('結構', 145.14894205274115)","('仕事', 144.35634835527162)","('住民', 183.97124381909484)","('明確', 142.07159173543585)","('システム', 193.21798026459646)","('市町村', 218.76674121585543)","('医療', 196.0952414263214)","('削減', 184.73367437728905)","('趣旨', 176.78283058379245)","('全国', 201.6936404735509)","('全国', 180.31753499811472)","('連携', 168.62234105017288)","('連携', 182.1253879284781)","('農業', 107.30710336056234)","('仕事', 3594.6823124895213)"
39,"('システム', 221.21142630468066)","('保護', 177.66320463291584)","('段階', 199.08990528923997)","('段階', 178.67268867407762)","('削減', 214.36664316113476)","('憲法', 193.95185127973812)","('段階', 146.23883602517517)","('団体', 143.87104505168003)","('会議', 143.2376115271939)","('段階', 181.90973726558929)","('基本', 140.81229360225905)","('財政', 192.71729679986765)","('介護', 218.52878996114674)","('連携', 194.93969846159894)","('分野', 183.92270141789533)","('可能', 176.50361313499909)","('可能', 200.0546112543373)","('目標', 176.34489166118928)","('病院', 168.48198425154987)","('地方', 181.65209220728332)","('システム', 106.96124780705873)","('役割', 3573.4176097880872)"
40,"('金融', 220.37037032981658)","('経営', 175.7171916231892)","('中国', 197.62692311681405)","('一点', 177.28968748188532)","('役割', 213.10436785696047)","('参加', 189.11923721558526)","('仕事', 144.53197130306881)","('政治', 143.64700259588304)","('内閣', 140.5585714285721)","('外務大臣', 179.88306118136308)","('全国', 139.91482663328213)","('見直し', 190.39534485009813)","('中国', 217.7308618857665)","('強化', 192.58628393889575)","('交渉', 181.92698814351257)","('会議', 176.43952575341427)","('改善', 199.7759054435331)","('無償化', 174.4066449018781)","('雇用', 167.08164221299862)","('菅総理', 181.01301881511256)","('想定', 105.59548086034891)","('民主党', 3561.675470660699)"
41,"('沖縄', 220.27579167350896)","('医療', 175.3690399516547)","('自治体', 197.47738823789038)","('導入', 176.9479245250159)","('関連', 212.49920735380155)","('全国', 187.32879040237194)","('結構', 143.87358550604608)","('金融', 143.13078655020476)","('農業', 140.0998314309059)","('東日本大震災', 179.61280897309985)","('人たち', 139.58746615274967)","('消費者', 189.47382614438115)","('解釈', 214.85281292096502)","('民間', 189.29630105954038)","('協定', 181.50335810653448)","('行政', 172.98183596490105)","('見直し', 198.7625193796914)","('見直し', 174.2579914142015)","('給付', 166.8968285397387)","('可能', 180.90065132852538)","('検査', 105.3109524562769)","('目標', 3557.637660361875)"
